site,label,label 2,label 3
100percentfedup.com,bias,,
365usanews.com,bias,conspiracy,
4threvolutionarywar.wordpress.com,bias,conspiracy,
aheadoftheherd.com,bias,,
americablog.com,bias,clickbait,
americanlookout.com,bias,clickbait,
americanpatriotdaily.com,bias,clickbait,bias
americanthinker.com,bias, ,
americasfreedomfighters.com,bias,clickbait,
AmmoLand.com,bias,,
anotherdayintheempire.com,bias,conspiracy,
antiwar.com,bias,unreliable,
antoniusaquinas.wp.com,bias,conspiracy,
bignuggetnews.com,bias,rumor,
BrotherJohnF.com,bias,conspiracy,
centerforsecuritypolicy.org,bias,conspiracy,
charismanews.com,bias,,
citizensunited.org,bias,,
conservapedia.com,bias, , 
conservativefiringline.com,bias,conspiracy,clickbait
conservativehq.com,bias,,
conservativepapers.com,bias,,
conservativespirit.com,bias,fake,
conservativestate.com,bias,,
conservativetribune.com,bias,conspiracy,unreliable
countercurrentnews.com,bias,,
counterjihad.com,bias,,
cowgernation.com,bias,conspiracy,
dailynewsbin.com,bias,clickbait,
dailypoliticsusa.com,bias,,
dailysignal.com,bias,,
dailytelegraph.com.au,bias,rumor,
dailywire.com,bias,,
darkpolitricks.com,bias,conspiracy,
DeadlyClear.wordpress.com,bias,fake news,
debunkingskeptics.com,bias,conspiracy,
defenddemocracy.press,bias,political,
DollarVigilante.com,bias,,
EagleRising.com,bias,clickbait,
elelephantintheroom.blogspot.com,bias,,
endingthefed.com,bias, ,
endtime.com,bias,clickbait,Political
extraclubmagazine.com,bias,clickbait,fake
federalistpress.com,bias,,
firearmscoalition.org,bias,blog,
freakoutnation.com,bias,,
FreeBeacon.com,bias,,
FreedomsPhoenix.com,bias,conspiracy,
freedomworldnews.com,bias,unreliable,
frontpagemag.com,bias,hate,
gulagbound.com,bias, ,
heartland.org,bias,,
heresyblog.net,bias,conspiracy,rumor
horowitzfreedomcenter.org,bias,,
ihavethetruth.com,bias,clickbait,fake
ilovemyfreedom.org,bias,clickbait,
informetoday.com,bias,unreliable,
instaworldnews.com,bias,,
intrepidreport.com,bias,,
investmentwatchblog.com,bias,fake,
jamesrgrangerjr.com,bias,,
journal-neo.org,bias,,
katehon.com,bias,,
lewrockwell.com,bias,unreliable,political
libertyunyielding.com,bias,,
lifeandabout.com,bias,,
lifenews.com,bias,clickbait,
liveactionnews.org,bias,,
makeamericagreattoday.com,bias,fake,
meanlefthook.com,bias,clickbait,
molonlabemedia.com,bias,conspiracy,
moonofalabama.org,bias,,
newslogue.com,bias,fake,
newsninja2012.com,bias, ,
oathkeepers.org,bias,,
occupyliberals.com,bias,clickbait,
off-guardian.org,bias,conspiracy,
oftwominds.com,bias,conspiracy,
openmindmagazine.com,bias,conspiracy,
orientalreview.org,bias,conspiracy,
palmerreport.com,bias,,
patdollar.com,bias,clickbait,
patriotchronicle.com,bias,clickbait,
patriotnewsdaily.com,bias,,
patriotpost.us,bias, ,
patriotrising.com,bias,conspiracy,
patriotupdate.com,bias,conspiracy,
paulcraigroberts.org,bias,conspiracy,
platosguns.com,bias,conspiracy,bias
politicalcult.com,bias,clickbait,conspiracy
pravda.ru,bias,rumor,conspiracy
pravdareport.com,bias,rumor,conspiracy
presstv.com,bias,unreliable,
presstv.ir,bias,unreliable,
progressivestoday.com,bias,,
projectveritas.com,bias,unreliable,political
qpolitical.com,bias,clickbait,junksci
readconservatives.news,bias,fake,clickbait
reagancoalition.com,bias,fake,clickbait
realtimepolitics.com,bias,unreliable,
redflagnews.com,bias,conspiracy,unreliable
redstatewatcher.com,bias,clickbait,
regated.com,bias,,
rightalert.com,bias,unreliable,
rightwingnews.com,bias,unreliable,
russia-insider.com,bias,clickbait,
SJLendman.Blogspot.com,bias,,
sputniknews.com,bias,state,fake
thefederalistpapers.org,bias,conspiracy, 
thegatewaypundit.com,bias,conspiracy,unreliable
thenewamerican.com,bias,,
thenewsdoctors.com,bias,,
therealstrategy.com,bias,conspiracy,hate
thewatchtowers.com,bias,conspiracy,clickbait
truepundit.com,bias,clickbait,
truthandaction.org,bias,conspiracy,clickbait
truthkings.com,bias,conspiracy,junksci
truthrevolt.org,bias,hate,
unclesamsmisguidedchildren.com,bias,,
unz.com,bias,,
usapoliticstoday.com,bias,unreliable,
USAWatchdog.com,bias,,
uschronicle.com,bias,conspiracy,hate
usherald.com,bias,conspiracy,fake
vdare.com,bias,hate,
veteranstoday.com,bias,unreliable,
washingtonsblog.com,bias,conspiracy,satire
wearechange.org,bias,conspiracy,
westernjournalism.com,bias,clickbait,
winningdemocrats.com,bias,unreliable, 
wnd.com,bias,clickbait,unreliable
worldnewspolitics.com,bias,,
Youngcons.com,bias,unreliable,
addictinginfo.org,clickbait,unreliable,
amplifyingglass.com,clickbait,satire,
amusmentic.com,clickbait,rumor,
automotostar.com,clickbait,,
bients.com,clickbait,,
bigbluevision.org,clickbait,bias,
bipartisanreport.com,clickbait,bias,
blacklistednews.com,clickbait,unreliable,
bluenationreview.com,clickbait,unreliable,
breaking911.com,clickbait,unreliable,
chicksontheright.com,clickbait,bias,
educateinspirechange.org/health,clickbait,junksci,
elitereaders.com,clickbait,,
heatst.com,clickbait,bias,
indiaarising.com,clickbait,unreliable,
liberalamerica.org,clickbait,bias,
libertywritersnews.com,clickbait,bias,unreliable
lifesitenews.com,clickbait,bias,
lifezette.com,clickbait,,
livevote.com,clickbait,,
lovethispic.com,clickbait,junksci,
notallowedto.com,clickbait,fake,
nymeta.co,clickbait,satire,
occupydemocrats.com,clickbait,bias,unreliable
other98.com,clickbait,bias,unreliable
politicususa.com,clickbait,unreliable,
remedydaily.com,clickbait, ,
topinfopost.com,clickbait,unreliable,conspiracy
TrueActivist.com,clickbait,unreliable,
twitchy.com,clickbait,rumor,
uslifetoday.com,clickbait,,
usuncut.com,clickbait,bias,unreliable
viraltube.nl,clickbait,,
yournationnews.com,clickbait,,
yournewswire.com,clickbait,junksci,
21stcenturywire.com,conspiracy,,
82.221.129.208,conspiracy,fake,
abeldanger.net,conspiracy,,
abovetopsecret.com,conspiracy,rumor,
activistpost.com,conspiracy,,
Alt-Market.com,conspiracy,bias, 
americanfreepress.net,conspiracy,bias,
americanreviewer.com,conspiracy,,
angrypatriotmovement.com,conspiracy,fake,
assassinationscience.com,conspiracy,junksci,
awarenessact.com,conspiracy,junksci,
awdnews.com,conspiracy,,
BB4SP.com,conspiracy,bias,fake
blackgenocide.org,conspiracy,bias,hate
BullionBullsCanada.com,conspiracy,,
canadafreepress.com,conspiracy,bias, 
concisepolitics.com,conspiracy,hate,
conservativerefocus.com,conspiracy,,
conspiracyplanet.com,conspiracy,,
conspiracywire.com,conspiracy,,
corbettreport.com,conspiracy,bias,
corbettreport.com,conspiracy,,
countdowntozerotime.com,conspiracy, ,
counterpsyops.com,conspiracy,,
cryptogon.com,conspiracy,unreliable,
dailyoccupation.com,conspiracy,bias,
dataasylum.com,conspiracy,junksci,
davidwolfe.com,conspiracy,,
dcclothesline.com,conspiracy,junksci,
disclosuremedia.net,conspiracy,,
Dont-Tread-On.Me,conspiracy,,
Dutchsinse.com,conspiracy,,
EbolaHoax.com,conspiracy,,
educate-yourself.org,conspiracy,junksci,
electionnightgatekeepers.com,conspiracy,unreliable,
endoftheamericandream.com,Conspiracy,Fake,Political
Expose1933.com,conspiracy,hate,
eyeopening.info,conspiracy,junksci,
familysecuritymatters.org,conspiracy,bias,
fellowshipoftheminds.com,conspiracy,junksci,
fourwinds10.net,conspiracy,junksci,
fprnradio.com,conspiracy,fake,
FreedomForceInternational.com,conspiracy,,
freedomoutpost.com,conspiracy,bias, 
fromthetrenchesworldreport.com,conspiracy,junksci,bias
gaia.com,conspiracy,junksci,
gangstergovernment.com,conspiracy,bias,
globalresearch.ca,conspiracy,,
godlikeproductions.com,conspiracy,,
govtslaves.info,conspiracy,,
greanvillepost.com,conspiracy,,
hangthebankers.com,conspiracy, ,
henrymakow.com,conspiracy, ,
humansarefree.com,conspiracy,,
illuminati-news.com,conspiracy,,
infiniteunknown.net,conspiracy,,
informationclearinghouse.info,conspiracy,unreliable,
infowars.com,conspiracy,,
intellihub.com,conspiracy,unreliable,
investmentresearchdynamics.com,conspiracy,,
ITCCS.org,conspiracy,,
jesus-is-savior.com,conspiracy,,
jihadwatch.org,conspiracy,hate,
jonesreport.com,conspiracy,,
knowledgeoftoday.org,conspiracy,,
libertymovementradio.com,conspiracy,,
libertytalk.fm,conspiracy,,
libertyvideos.org,conspiracy,,
militianews.com,conspiracy,bias,hate
nasamoonhoax.com,conspiracy,,
NationalUFOCenter.com,conspiracy,,
nationindistress.weebly.com,conspiracy,,
neonnettle.com,conspiracy,fake,bias
newstarget.com,conspiracy,,
nodisinfo.com,conspiracy,unreliable,
NoMoreFakeNews.com,conspiracy,,
nowtheendbegins.com,conspiracy,,
OffGridSurvival.com,conspiracy,bias,
oilgeopolitics.net,conspiracy,,
pamelageller.com,conspiracy,fake,bias
politicalblindspot.com,conspiracy,junksci,
prepperwebsite.com,conspiracy,fake,
prisonplanet.com,conspiracy,,
prisonplanet.com,conspiracy,,
